Tiempo,Voltaje,Temperatura,Alerta
2025-09-01T10:00:04,5.01,26.14,CUIDADO
2025-09-01T10:00:07,4.91,24.43,OK
2025-09-01T10:00:08,4.93,24.81,OK
2025-09-01T10:00:14,5.58,36.40,CUIDADO
2025-09-01T10:00:17,4.89,24.04,OK
2025-09-01T10:00:21,4.99,25.78,CUIDADO
2025-09-01T10:00:26,4.90,24.25,OK
2025-09-01T10:00:27,4.99,25.73,CUIDADO
2025-09-01T10:00:29,5.03,26.54,CUIDADO
2025-09-01T10:00:31,4.97,25.44,CUIDADO
2025-09-01T10:00:32,4.99,25.77,CUIDADO
2025-09-01T10:00:35,5.03,26.52,CUIDADO
2025-09-01T10:00:41,4.98,25.72,CUIDADO
2025-09-01T10:00:43,4.92,24.51,OK
2025-09-01T10:00:44,5.42,33.64,CUIDADO
2025-09-01T10:00:45,4.96,25.19,CUIDADO
2025-09-01T10:00:46,4.89,24.09,OK
2025-09-01T10:00:48,4.89,24.07,OK
2025-09-01T10:00:49,5.00,25.98,CUIDADO
2025-09-01T10:00:50,5.01,26.24,CUIDADO
2025-09-01T10:00:54,4.79,22.20,OK
2025-09-01T10:00:57,5.02,26.43,CUIDADO
2025-09-01T10:01:00,5.06,27.12,CUIDADO
2025-09-01T10:01:02,4.93,24.81,OK
2025-09-01T10:01:10,4.62,19.18,OK
2025-09-01T10:01:11,5.05,26.95,CUIDADO
2025-09-01T10:01:14,5.73,39.06,CUIDADO
2025-09-01T10:01:19,4.90,24.28,OK
2025-09-01T10:01:20,4.90,24.24,OK
2025-09-01T10:01:21,4.90,24.20,OK
2025-09-01T10:01:22,4.93,24.78,OK
2025-09-01T10:01:31,4.92,24.54,OK
2025-09-01T10:01:32,4.90,24.27,OK
2025-09-01T10:01:33,5.52,35.32,CUIDADO
2025-09-01T10:01:34,5.01,26.11,CUIDADO
2025-09-01T10:01:35,5.11,27.98,CUIDADO
2025-09-01T10:01:44,4.91,24.34,OK
2025-09-01T10:01:45,5.05,26.86,CUIDADO
2025-09-01T10:01:47,4.97,25.55,CUIDADO
2025-09-01T10:01:49,4.97,25.53,CUIDADO
2025-09-01T10:01:52,4.97,25.44,CUIDADO
2025-09-01T10:01:53,4.93,24.72,OK
2025-09-01T10:01:55,5.01,26.27,CUIDADO
2025-09-01T10:01:56,5.40,33.16,CUIDADO
2025-09-01T10:01:57,4.98,25.70,CUIDADO
2025-09-01T10:02:01,4.97,25.50,CUIDADO
2025-09-01T10:02:03,4.97,25.53,CUIDADO
2025-09-01T10:02:07,5.02,26.38,CUIDADO
2025-09-01T10:02:08,4.96,25.28,CUIDADO
2025-09-01T10:02:11,5.01,26.26,CUIDADO
2025-09-01T10:02:18,5.35,32.25,CUIDADO
2025-09-01T10:02:21,5.01,26.27,CUIDADO
2025-09-01T10:02:23,5.00,26.05,CUIDADO
2025-09-01T10:02:25,4.95,25.03,CUIDADO
2025-09-01T10:02:31,4.97,25.48,CUIDADO
2025-09-01T10:02:33,5.00,25.96,CUIDADO
2025-09-01T10:02:35,4.97,25.42,CUIDADO
2025-09-01T10:02:41,4.87,23.62,OK
2025-09-01T10:02:46,4.87,23.60,OK
2025-09-01T10:02:48,4.94,24.85,OK
2025-09-01T10:02:52,4.92,24.50,OK
2025-09-01T10:02:53,5.62,37.14,CUIDADO
2025-09-01T10:02:55,5.08,27.46,CUIDADO
2025-09-01T10:02:58,4.99,25.84,CUIDADO
2025-09-01T10:03:00,4.99,25.87,CUIDADO
2025-09-01T10:03:02,5.29,31.15,CUIDADO
2025-09-01T10:03:11,4.93,24.67,OK
2025-09-01T10:03:17,5.00,25.93,CUIDADO
2025-09-01T10:03:21,4.61,19.04,OK
2025-09-01T10:03:26,4.87,23.73,OK
2025-09-01T10:03:29,5.00,25.96,CUIDADO
2025-09-01T10:03:30,5.07,27.17,CUIDADO
2025-09-01T10:03:31,4.91,24.29,OK
2025-09-01T10:03:34,4.91,24.35,OK
2025-09-01T10:03:40,4.98,25.64,CUIDADO
2025-09-01T10:03:42,5.03,26.49,CUIDADO
2025-09-01T10:03:43,5.03,26.56,CUIDADO
2025-09-01T10:03:44,4.98,25.68,CUIDADO
2025-09-01T10:03:45,4.92,24.58,OK
2025-09-01T10:03:46,4.96,25.33,CUIDADO
2025-09-01T10:03:47,4.89,24.05,OK
2025-09-01T10:03:51,4.91,24.41,OK
2025-09-01T10:03:54,5.07,27.18,CUIDADO
2025-09-01T10:03:59,4.93,24.81,OK
2025-09-01T10:04:06,5.71,38.85,CUIDADO
